City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Saint-Joseph,RE,2023-02-02 21:44:25,-21.3667,55.6167,24.21,86,43,5.8
242,Sinnamary,GF,2023-02-02 21:44:25,5.3833,-52.95,24.63,87,93,4.08
243,Kununurra,AU,2023-02-02 21:44:26,-15.7667,128.7333,23.99,94,97,0.0
244,Huarmey,PE,2023-02-02 21:44:26,-10.0681,-78.1522,24.16,74,74,4.48
245,Mumford,GH,2023-02-02 21:44:26,5.2618,-0.759,26.34,86,15,2.76
246,Lardos,GR,2023-02-02 21:44:27,36.0942,28.0157,9.9,68,31,1.55
247,Sembe,CG,2023-02-02 21:44:27,1.6481,14.5806,21.7,87,76,0.57
248,Fushun,CN,2023-02-02 21:44:28,41.8558,123.9233,-11.16,55,100,1.68
249,Kui Buri,TH,2023-02-02 21:44:28,12.0828,99.8543,24.18,71,85,1.9
250,Magole,TZ,2023-02-02 21:44:28,-6.3667,37.3667,21.65,88,92,0.79
251,Sitka,US,2023-02-02 21:44:12,57.0531,-135.33,5.94,70,100,2.57
252,Awjilah,LY,2023-02-02 21:44:29,29.1081,21.2869,11.97,49,62,1.3
253,Iisalmi,FI,2023-02-02 21:44:29,63.5592,27.1907,-13.57,99,92,0.94
254,Isangel,VU,2023-02-02 21:44:30,-19.55,169.2667,29.33,72,35,3.97
255,Puerto Carreno,CO,2023-02-02 21:44:30,6.189,-67.4859,32.99,43,20,6.17
256,Alta Floresta,BR,2023-02-02 21:44:31,-9.8756,-56.0861,24.95,86,84,0.37
257,Riyadh,SA,2023-02-02 21:41:13,24.6877,46.7219,14.08,65,0,4.51
258,Port Macquarie,AU,2023-02-02 21:44:31,-31.4333,152.9167,26.05,56,4,2.03
259,Carutapera,BR,2023-02-02 21:44:31,-1.195,-46.02,23.21,97,100,2.0
260,Mecca,SA,2023-02-02 21:44:32,21.4267,39.8261,18.19,47,0,3.47
261,Mount Gambier,AU,2023-02-02 21:44:32,-37.8333,140.7667,9.65,82,95,5.51
262,Sitamau,IN,2023-02-02 21:44:33,24.0167,75.35,13.63,41,98,1.62
263,Aripuana,BR,2023-02-02 21:44:33,-9.1667,-60.6333,25.13,92,46,0.41
264,Cidreira,BR,2023-02-02 21:44:34,-30.1811,-50.2056,25.3,80,99,6.17
265,Lianzhou,CN,2023-02-02 21:44:34,24.7811,112.3825,10.28,72,100,1.65
266,Narsaq,GL,2023-02-02 21:43:44,60.9167,-46.05,-10.88,97,70,3.15
267,Takoradi,GH,2023-02-02 21:44:35,4.8845,-1.7554,26.73,86,17,3.03
268,Celendin,PE,2023-02-02 21:44:35,-6.8703,-78.1517,18.29,71,86,2.27
269,Embu,BR,2023-02-02 21:43:50,-23.6489,-46.8522,29.02,91,91,2.5
270,Vila Franca Do Campo,PT,2023-02-02 21:44:36,37.7167,-25.4333,15.23,80,66,5.06
271,Helong,CN,2023-02-02 21:44:36,42.5397,128.9972,-17.22,90,88,2.2
272,Margate,GB,2023-02-02 21:36:48,51.3813,1.3862,9.93,82,57,1.34
273,Westport,US,2023-02-02 21:41:59,41.1415,-73.3579,3.75,41,0,5.14
274,Shenjiamen,CN,2023-02-02 21:44:37,29.9576,122.298,5.53,85,100,5.02
275,Pundaguitan,PH,2023-02-02 21:44:37,6.3711,126.1689,26.63,78,54,7.03
276,Roebourne,AU,2023-02-02 21:44:37,-20.7833,117.1333,29.7,67,64,1.77
277,Conceicao Da Barra,BR,2023-02-02 21:44:38,-18.5933,-39.7322,24.99,85,5,3.53
278,Mackay,AU,2023-02-02 21:44:38,-21.15,149.2,30.38,72,78,2.13
279,Anadyr,RU,2023-02-02 21:44:38,64.75,177.4833,-6.72,68,75,7.0
280,Lata,PT,2023-02-02 21:44:39,40.1629,-8.3327,6.15,79,0,1.68
281,Karratha,AU,2023-02-02 21:45:39,-20.7377,116.8463,29.58,68,46,2.49
282,Beinamar,TD,2023-02-02 21:45:40,8.6698,15.3813,26.35,18,1,1.35
283,Flinders,AU,2023-02-02 21:42:39,-34.5833,150.8552,20.59,57,0,3.13
284,Joshimath,IN,2023-02-02 21:45:41,30.5667,79.5667,5.14,46,80,3.79
285,Kulhudhuffushi,MV,2023-02-02 21:45:41,6.6221,73.07,26.48,77,100,4.01
286,North Platte,US,2023-02-02 21:45:40,41.1239,-100.7654,-5.52,70,0,5.14
287,Makasar,ID,2023-02-02 21:45:42,-5.14,119.4221,24.03,100,75,3.6
288,Ivanovka,KG,2023-02-02 21:45:42,42.8878,75.085,3.64,90,100,0.45
289,Hamilton,US,2023-02-02 21:42:22,39.1834,-84.5333,3.66,47,0,6.17
290,Haines Junction,CA,2023-02-02 21:45:43,60.7522,-137.5108,-8.03,62,100,1.03
